,Date,Stock,Open,High,Low,Close,Volume,Volatility
27,2023-12-14,IBM,162.93,163.499,160.149,162.91,6129804,3.35
28,2023-12-13,IBM,164.37,164.9653,162.735,163.62,4989141,2.2303
29,2023-12-12,IBM,163.27,166.34,162.92,164.71,5292290,3.42
30,2023-12-11,IBM,162.68,163.65,161.95,163.51,6077207,1.7
31,2023-12-08,IBM,160.0,162.04,160.0,161.96,4561342,2.04
32,2023-12-07,IBM,161.0,161.465,159.97,160.22,3665498,1.495
33,2023-12-06,IBM,161.59,162.355,160.01,160.28,3356432,2.345
34,2023-12-05,IBM,160.76,162.47,160.72,161.39,4556668,1.75
35,2023-12-04,IBM,160.29,162.79,160.29,161.1,5779017,2.5
36,2023-12-01,IBM,158.41,160.59,158.0,160.55,4871860,2.59
37,2023-11-30,IBM,156.95,158.6,156.89,158.56,6740622,1.71
38,2023-11-29,IBM,156.15,157.51,156.02,156.41,3568887,1.49
39,2023-11-28,IBM,155.44,155.745,154.86,155.65,2666182,0.885
40,2023-11-27,IBM,154.99,156.135,154.75,155.57,4053093,1.385
41,2023-11-24,IBM,155.13,155.4,153.92,155.18,1799161,1.48
42,2023-11-22,IBM,154.5,155.705,154.16,155.13,3045091,1.545
43,2023-11-21,IBM,154.6,154.66,153.51,153.91,2859508,1.15
44,2023-11-20,IBM,152.51,154.68,152.35,154.35,3658936,2.33
45,2023-11-17,IBM,153.29,153.5,152.4601,152.89,4426676,1.0399
46,2023-11-16,IBM,153.0,153.35,152.13,153.06,3519172,1.22
47,2023-11-15,IBM,150.4,153.22,150.4,152.58,4632519,2.82
48,2023-11-14,IBM,149.45,150.8063,149.05,150.41,4321940,1.7563
49,2023-11-13,IBM,148.46,148.49,147.35,148.1,2647288,1.14
50,2023-11-10,IBM,147.44,149.17,146.85,149.02,3179541,2.32
51,2023-11-09,IBM,146.55,146.99,145.28,146.62,3412713,1.71
52,2023-11-08,IBM,149.25,149.68,147.585,148.03,3618588,2.095
53,2023-11-07,IBM,149.03,149.28,148.03,148.83,3549853,1.25
54,2023-11-06,IBM,147.89,149.225,147.85,148.97,4597249,1.375
55,2023-11-03,IBM,147.45,148.445,147.28,147.9,3510495,1.165
56,2023-11-02,IBM,145.77,147.1,144.84,147.01,3902657,2.26
57,2023-11-01,IBM,145.0,146.51,144.45,145.4,4750081,2.06
58,2023-10-31,IBM,143.0,144.76,142.59,144.64,6592041,2.17
59,2023-10-30,IBM,143.19,144.5,142.58,142.63,4204190,1.92
60,2023-10-27,IBM,143.62,144.7,141.71,142.52,5469227,2.99
61,2023-10-26,IBM,142.2,144.41,141.58,143.76,11130170,2.83
62,2023-10-25,IBM,137.5,138.49,136.33,137.08,6472549,2.16
63,2023-10-24,IBM,136.74,137.98,136.05,137.79,3697975,1.93
64,2023-10-23,IBM,136.63,137.68,135.87,136.38,3457527,1.81
65,2023-10-20,IBM,138.15,139.27,137.12,137.16,4865615,2.15
66,2023-10-19,IBM,138.64,139.405,137.93,138.01,5314159,1.475
67,2023-10-18,IBM,140.0,140.43,139.58,139.97,3329985,0.85
68,2023-10-17,IBM,137.12,140.62,136.31,140.32,4172822,4.31
69,2023-10-16,IBM,139.28,139.78,138.52,139.21,3361468,1.26
70,2023-10-13,IBM,139.77,140.12,138.27,138.46,4583553,1.85
71,2023-10-12,IBM,142.51,142.93,140.95,141.24,3921142,1.98
72,2023-10-11,IBM,142.51,143.34,142.14,143.23,2511459,1.2
73,2023-10-10,IBM,142.6,143.415,141.72,142.11,3015784,1.695
74,2023-10-09,IBM,142.3,142.4,140.68,142.2,2354396,1.72
75,2023-10-06,IBM,141.4,142.94,140.11,142.03,3511347,2.83
76,2023-10-05,IBM,140.9,141.7,140.19,141.52,3223910,1.51
77,2023-10-04,IBM,140.37,141.2004,139.99,141.07,2637779,1.2104
78,2023-10-03,IBM,140.87,141.64,140.0,140.39,3284421,1.64
79,2023-10-02,IBM,140.04,141.45,139.86,140.8,3275461,1.59
80,2023-09-29,IBM,142.0,142.13,139.61,140.3,5703983,2.52
81,2023-09-28,IBM,142.14,142.282,140.205,141.58,5783422,2.077
82,2023-09-27,IBM,143.67,143.82,141.76,143.17,4439121,2.06
83,2023-09-26,IBM,145.51,146.17,143.0201,143.24,4824654,3.1499
84,2023-09-25,IBM,146.57,147.43,146.25,146.48,2694245,1.18
85,2023-09-22,IBM,147.41,148.1,146.82,146.91,2562216,1.28
86,2023-09-21,IBM,149.0,149.25,147.31,147.38,4944786,1.94
87,2023-09-20,IBM,148.36,151.9299,148.13,149.83,9636681,3.7999
88,2023-09-19,IBM,145.0,146.72,144.66,146.52,3945423,2.06
89,2023-09-18,IBM,145.77,146.48,145.06,145.09,2508062,1.42
90,2023-09-15,IBM,147.11,147.85,145.53,145.99,6234033,2.32
91,2023-09-14,IBM,147.38,147.73,146.48,147.35,2723200,1.25
92,2023-09-13,IBM,145.95,146.98,145.92,146.55,2627999,1.06
93,2023-09-12,IBM,147.92,148.0,145.8,146.3,4457695,2.2
94,2023-09-11,IBM,148.57,148.78,147.58,148.38,3273720,1.2
95,2023-09-08,IBM,147.35,148.59,147.26,147.68,3722927,1.33
96,2023-09-07,IBM,148.13,148.78,147.4,147.52,3333040,1.38
97,2023-09-06,IBM,147.66,148.33,147.12,148.06,2932203,1.21
98,2023-09-05,IBM,147.91,149.0,147.5719,148.13,3731281,1.4281
99,2023-09-01,IBM,147.26,148.1,146.92,147.94,2727796,1.18
100,2023-08-31,IBM,146.94,147.7275,146.54,146.83,3885949,1.1875
101,2023-08-30,IBM,146.42,146.92,145.7452,146.86,2245402,1.1748
102,2023-08-29,IBM,146.3,146.73,145.62,146.45,2778113,1.11
103,2023-08-28,IBM,145.41,146.74,145.21,146.02,3561347,1.53
104,2023-08-25,IBM,144.18,145.47,143.5,145.35,3660147,1.97
105,2023-08-24,IBM,143.505,144.47,143.22,143.55,2900244,1.25
106,2023-08-23,IBM,141.72,143.475,141.58,143.41,2559083,1.895
107,2023-08-22,IBM,142.66,143.225,141.3,141.49,3557734,1.925
108,2023-08-21,IBM,141.42,142.39,141.11,142.28,2937781,1.28
109,2023-08-18,IBM,140.0,141.83,139.76,141.41,3915480,2.07
110,2023-08-17,IBM,141.01,142.66,140.6,140.66,3742058,2.06
111,2023-08-16,IBM,141.7,142.09,140.56,140.64,3285347,1.53
112,2023-08-15,IBM,141.5,142.31,141.2,141.87,3656559,1.11
113,2023-08-14,IBM,143.05,143.365,141.802,141.91,4226563,1.563
114,2023-08-11,IBM,143.12,143.45,142.205,143.12,2526433,1.245
115,2023-08-10,IBM,143.04,144.58,142.69,143.25,4735763,1.89
116,2023-08-09,IBM,144.94,144.94,142.3,142.49,4073038,2.64
117,2023-08-08,IBM,145.7,146.15,144.11,145.91,4654582,2.04
118,2023-08-07,IBM,145.0,146.5,144.93,146.18,3438654,1.57
119,2023-08-04,IBM,145.09,146.09,143.99,144.24,4223204,2.1
120,2023-08-03,IBM,143.78,145.22,143.3116,144.45,3952640,1.9084
121,2023-08-02,IBM,142.78,144.3,142.31,144.17,4959381,1.99
122,2023-08-01,IBM,144.25,144.48,142.17,143.33,4798703,2.31
123,2023-07-31,IBM,143.81,144.605,143.53,144.18,6138902,1.075
124,2023-07-28,IBM,143.44,143.95,142.85,143.45,6686627,1.1
125,2023-07-27,IBM,142.3,143.38,141.9,142.97,6331563,1.48
126,2023-07-26,IBM,140.44,141.25,139.88,141.07,4046441,1.37
127,2023-07-25,IBM,139.42,140.43,139.0403,140.33,3770813,1.3897
128,2023-07-24,IBM,139.35,140.12,138.7788,139.54,3475442,1.3412
129,2023-07-21,IBM,138.21,139.7799,137.76,138.94,5858741,2.0199
130,2023-07-20,IBM,137.19,140.32,136.56,138.38,10896330,3.76
131,2023-07-19,IBM,135.53,136.45,135.19,135.48,5519992,1.26
132,2023-07-18,IBM,134.71,135.95,134.29,135.36,3852058,1.66
133,2023-07-17,IBM,133.26,134.61,133.1,134.24,3168419,1.51
134,2023-07-14,IBM,133.91,133.92,132.94,133.4,2861496,0.98
135,2023-07-13,IBM,133.51,135.07,133.36,133.92,3221422,1.71
136,2023-07-12,IBM,135.07,135.33,132.575,132.84,3732189,2.755
137,2023-07-11,IBM,133.66,134.56,133.23,134.44,2925238,1.33
138,2023-07-10,IBM,131.76,133.05,131.695,132.9,2369425,1.355
139,2023-07-07,IBM,131.78,133.855,131.75,132.08,2982738,2.105
140,2023-07-06,IBM,133.235,133.9,131.55,132.16,3508083,2.35
141,2023-07-05,IBM,133.32,134.31,132.59,134.24,2955870,1.72
142,2023-07-03,IBM,133.42,134.35,132.87,133.67,1477149,1.48
143,2023-06-30,IBM,134.69,135.03,133.425,133.81,4236677,1.605
144,2023-06-29,IBM,131.75,134.35,131.69,134.06,3639836,2.66
145,2023-06-28,IBM,132.06,132.17,130.91,131.76,2753779,1.26
146,2023-06-27,IBM,131.3,132.95,130.83,132.34,3219909,2.12
147,2023-06-26,IBM,129.39,131.41,129.31,131.34,4845649,2.1
148,2023-06-23,IBM,130.4,130.62,129.18,129.43,11324705,1.44
149,2023-06-22,IBM,131.68,132.96,130.68,131.17,6013021,2.28
150,2023-06-21,IBM,135.11,135.39,133.29,133.69,5501272,2.1
151,2023-06-20,IBM,136.36,137.23,135.89,135.96,4272511,1.34
152,2023-06-16,IBM,139.23,139.469,137.47,137.48,7473676,1.999
153,2023-06-15,IBM,137.27,138.8,137.175,138.4,3812582,1.625
154,2023-06-14,IBM,137.8,138.93,136.94,137.2,4514888,1.99
155,2023-06-13,IBM,136.51,138.17,136.0,137.6,3927331,2.17
156,2023-06-12,IBM,136.0,136.62,135.8216,136.42,4500120,0.7984
157,2023-06-09,IBM,134.36,136.1,134.17,135.3,3981748,1.93
158,2023-06-08,IBM,134.69,135.98,134.01,134.41,4128939,1.97
159,2023-06-07,IBM,132.5,134.44,132.19,134.38,5772024,2.25
160,2023-06-06,IBM,132.43,132.94,131.88,132.69,3297951,1.06
161,2023-06-05,IBM,133.12,133.58,132.27,132.64,3993516,1.31
162,2023-06-02,IBM,130.38,133.12,130.15,132.42,5375796,2.97
163,2023-06-01,IBM,128.44,130.145,127.78,129.82,4136086,2.365
164,2023-05-31,IBM,128.51,129.44,127.46,128.59,11086313,1.98
165,2023-05-30,IBM,129.56,130.0699,128.26,129.48,3741050,1.8099
166,2023-05-26,IBM,127.06,129.66,126.81,128.89,5612570,2.85
167,2023-05-25,IBM,125.61,127.23,125.01,126.76,4102854,2.22
168,2023-05-24,IBM,127.82,127.9,125.47,125.68,3915505,2.43
169,2023-05-23,IBM,127.24,129.09,127.13,128.18,4592280,1.96
170,2023-05-22,IBM,127.5,128.19,127.15,127.5,2806770,1.04
171,2023-05-19,IBM,126.79,128.29,126.55,127.26,4306657,1.74
172,2023-05-18,IBM,125.3,126.51,125.1894,126.15,3797883,1.3206
173,2023-05-17,IBM,123.94,125.85,123.47,125.71,4515134,2.38
174,2023-05-16,IBM,123.35,123.86,122.45,123.46,2749125,1.41
175,2023-05-15,IBM,123.0,123.6881,122.34,123.36,2915725,1.3481
176,2023-05-12,IBM,121.41,122.86,121.11,122.84,4564825,1.75
177,2023-05-11,IBM,122.02,122.24,120.55,120.9,3446452,1.69
178,2023-05-10,IBM,121.99,122.49,121.1,122.02,4189222,1.39
179,2023-05-09,IBM,121.9,121.97,120.66,121.17,4540047,1.31
180,2023-05-08,IBM,123.76,123.92,122.55,123.4,3663818,1.37
181,2023-05-05,IBM,123.11,124.1,122.805,123.65,4971936,1.295
182,2023-05-04,IBM,123.03,123.52,121.7563,122.57,4468237,1.7637
183,2023-05-03,IBM,125.46,125.57,123.26,123.45,4554212,2.31
184,2023-05-02,IBM,126.3,126.45,123.27,125.16,4445283,3.18
185,2023-05-01,IBM,126.35,126.75,126.06,126.09,2724992,0.69
186,2023-04-28,IBM,126.58,127.25,125.64,126.41,5061247,1.61
187,2023-04-27,IBM,126.37,127.02,125.455,126.97,3204889,1.565
188,2023-04-26,IBM,125.81,126.545,125.12,125.85,4058800,1.425
189,2023-04-25,IBM,124.9,126.19,124.76,125.89,4275396,1.43
190,2023-04-24,IBM,125.55,126.05,124.56,125.4,4043892,1.49
191,2023-04-21,IBM,126.0,126.7,125.27,125.73,6725426,1.43
192,2023-04-20,IBM,130.15,130.98,125.84,126.36,9749618,5.14
193,2023-04-19,IBM,126.5,126.98,125.3,126.32,7014368,1.68
194,2023-04-18,IBM,128.14,128.68,127.35,127.78,3193787,1.33
195,2023-04-17,IBM,128.3,128.72,126.8,127.82,3657929,1.92
196,2023-04-14,IBM,128.46,129.84,127.31,128.14,4180614,2.53
197,2023-04-13,IBM,128.01,128.39,126.0,127.9,5621512,2.39
198,2023-04-12,IBM,130.4,130.8857,128.17,128.54,3957542,2.7157
199,2023-04-11,IBM,130.58,131.105,130.18,130.42,3132430,0.925
200,2023-04-10,IBM,129.83,131.08,129.24,131.03,2614402,1.84
201,2023-04-06,IBM,132.16,132.6,130.315,130.5,3050581,2.285
202,2023-04-05,IBM,131.37,132.61,131.37,132.14,2898759,1.24
203,2023-04-04,IBM,131.99,132.1499,130.89,131.6,3382783,1.2599
204,2023-04-03,IBM,130.97,132.61,130.77,132.06,3840139,1.84
205,2023-03-31,IBM,129.47,131.23,129.42,131.09,4524686,1.81
206,2023-03-30,IBM,130.16,131.48,129.1,129.22,3561762,2.38
207,2023-03-29,IBM,130.12,130.35,129.18,129.71,3279846,1.17
208,2023-03-28,IBM,129.18,129.66,128.8,129.34,2889115,0.86
209,2023-03-27,IBM,126.47,130.255,126.47,129.31,6524113,3.785
210,2023-03-24,IBM,123.36,125.4,122.88,125.29,3812644,2.52
211,2023-03-23,IBM,123.81,124.93,122.6,123.37,4651936,2.33
212,2023-03-22,IBM,127.0,127.215,124.01,124.05,3549024,3.205
213,2023-03-21,IBM,126.9,127.15,125.66,126.57,3856345,1.49
214,2023-03-20,IBM,124.31,126.16,124.19,125.94,4588304,1.97
215,2023-03-17,IBM,124.08,124.52,122.93,123.69,37400167,1.59
216,2023-03-16,IBM,122.96,124.82,121.92,124.7,6440023,2.9
217,2023-03-15,IBM,122.99,123.35,121.71,123.28,5989339,1.64
218,2023-03-14,IBM,126.49,126.64,123.2,124.65,8114792,3.44
219,2023-03-13,IBM,125.15,128.19,124.85,125.58,8188369,3.34
220,2023-03-10,IBM,126.12,127.29,125.13,125.45,5990867,2.16
221,2023-03-09,IBM,128.3,128.53,125.98,126.16,5478317,2.55
222,2023-03-08,IBM,128.48,128.74,127.545,128.05,2778798,1.195
223,2023-03-07,IBM,130.28,130.42,128.19,128.25,3530439,2.23
224,2023-03-06,IBM,129.64,130.86,129.59,130.19,2982980,1.27
225,2023-03-03,IBM,129.35,129.905,128.77,129.64,2860286,1.135
226,2023-03-02,IBM,128.39,129.22,127.71,128.93,3340254,1.51
227,2023-03-01,IBM,128.9,129.4726,127.74,128.19,3760678,1.7326
228,2023-02-28,IBM,130.55,130.61,129.14,129.3,5143133,1.47
229,2023-02-27,IBM,131.42,131.87,130.13,130.49,2761326,1.74
230,2023-02-24,IBM,129.62,130.67,129.22,130.57,3015907,1.45
231,2023-02-23,IBM,131.5,131.7,128.86,130.79,3725648,2.84
232,2023-02-22,IBM,131.9,131.99,130.29,130.97,3200185,1.7
233,2023-02-21,IBM,134.0,134.385,131.66,131.71,4257210,2.725
234,2023-02-17,IBM,134.5,135.58,133.89,135.02,3466184,1.69
235,2023-02-16,IBM,135.57,135.9672,134.59,135.0,2965495,1.3772
236,2023-02-15,IBM,135.2,136.445,135.07,136.4,2507004,1.375
237,2023-02-14,IBM,137.05,137.24,135.05,136.01,3202172,2.19
238,2023-02-13,IBM,136.0,137.39,135.85,137.35,4403015,1.54
239,2023-02-10,IBM,133.78,135.77,133.5,135.6,5049571,2.27
240,2023-02-09,IBM,134.99,135.73,133.34,133.75,3918817,2.39
241,2023-02-08,IBM,135.71,136.74,135.16,135.98,4593748,1.58
242,2023-02-07,IBM,135.67,136.4,134.45,135.84,3737553,1.95
243,2023-02-06,IBM,135.83,136.32,134.95,136.18,4841300,1.37
244,2023-02-03,IBM,136.35,136.95,135.53,136.94,3755720,1.42
245,2023-02-02,IBM,135.96,136.72,134.85,136.39,6107793,1.87
246,2023-02-01,IBM,134.49,135.79,132.8,135.09,5428898,2.99
247,2023-01-31,IBM,135.5,135.65,133.76,134.73,7206448,1.89
248,2023-01-30,IBM,134.32,136.11,133.98,135.3,5375712,2.13
249,2023-01-27,IBM,134.44,135.488,133.7701,134.39,8143146,1.7179
250,2023-01-26,IBM,137.53,138.27,132.98,134.45,17548483,5.29
251,2023-01-25,IBM,140.47,141.03,139.36,140.76,7347453,1.67
252,2023-01-24,IBM,141.25,142.75,140.0,141.49,4407622,2.75
253,2023-01-23,IBM,141.4,142.985,141.06,141.86,5898436,1.925
254,2023-01-20,IBM,141.67,141.86,140.51,141.2,7153341,1.35
255,2023-01-19,IBM,140.0,142.23,139.75,140.62,4833924,2.48
256,2023-01-18,IBM,144.4,144.678,140.225,140.41,6445642,4.453
257,2023-01-17,IBM,146.42,147.18,145.01,145.19,2986461,2.17
258,2023-01-13,IBM,144.06,146.1,144.01,145.89,2455786,2.09
259,2023-01-12,IBM,144.88,146.66,144.52,145.55,2716118,2.14
260,2023-01-11,IBM,145.0,145.53,143.45,145.26,3268738,2.08
261,2023-01-10,IBM,143.61,144.85,142.9,144.8,2152172,1.95
262,2023-01-09,IBM,144.08,145.47,143.4,143.55,3987782,2.07
263,2023-01-06,IBM,142.38,144.25,141.58,143.7,3574042,2.67
264,2023-01-05,IBM,142.44,142.498,140.01,141.11,2866648,2.488
265,2023-01-04,IBM,142.07,143.615,141.3675,142.6,3869236,2.2475
266,2023-01-03,IBM,141.1,141.9,140.48,141.55,3338829,1.42
267,2022-12-30,IBM,140.54,140.9,139.45,140.89,2858110,1.45
268,2022-12-29,IBM,140.58,142.26,140.45,141.06,2337207,1.81
269,2022-12-28,IBM,142.4,142.81,139.95,140.02,2539577,2.86
270,2022-12-27,IBM,141.73,142.72,141.23,142.42,2742525,1.49
271,2022-12-23,IBM,140.59,141.8565,139.6,141.65,2092715,2.2565
272,2022-12-22,IBM,140.95,141.44,138.62,140.88,3337851,2.82
273,2022-12-21,IBM,141.84,143.09,140.975,142.14,3793700,2.115
274,2022-12-20,IBM,138.84,141.425,138.34,141.28,5156450,3.085
275,2022-12-19,IBM,140.16,140.44,137.195,138.87,5282860,3.245
276,2022-12-16,IBM,141.25,141.915,138.97,140.16,9834427,2.945
277,2022-12-15,IBM,148.52,148.98,141.58,142.36,6687744,7.4
278,2022-12-14,IBM,150.47,151.91,148.45,149.86,4205878,3.46
279,2022-12-13,IBM,150.37,153.21,149.95,150.57,8811553,3.26
280,2022-12-12,IBM,147.82,149.21,146.9426,149.21,4032780,2.2674
281,2022-12-09,IBM,147.4,148.34,146.97,147.05,3047581,1.37
282,2022-12-08,IBM,147.9,149.153,147.365,147.78,2665687,1.788
283,2022-12-07,IBM,147.33,148.105,146.29,147.27,3971285,1.815
284,2022-12-06,IBM,147.3,147.8,146.7,147.5,2847610,1.1
285,2022-12-05,IBM,147.94,148.93,146.8,147.41,2784767,2.13
286,2022-12-02,IBM,148.13,149.16,147.73,148.67,2899995,1.43
287,2022-12-01,IBM,149.98,150.01,147.34,149.16,4495924,2.67
288,2022-11-30,IBM,146.19,149.64,145.67,148.9,6377582,3.97
289,2022-11-29,IBM,145.91,147.1668,145.7,146.49,2754744,1.4668
290,2022-11-28,IBM,147.98,148.24,145.935,146.18,3538696,2.305
291,2022-11-25,IBM,148.27,149.49,148.101,148.37,2075156,1.389
292,2022-11-23,IBM,149.1,150.46,148.3,148.75,3658459,2.16
293,2022-11-22,IBM,147.6,149.35,147.02,149.1,7062060,2.33
294,2022-11-21,IBM,147.55,147.928,146.45,146.68,3476208,1.478
295,2022-11-18,IBM,146.56,148.31,145.94,147.64,4661735,2.37
296,2022-11-17,IBM,143.41,146.18,143.25,146.09,3955162,2.93
297,2022-11-16,IBM,144.13,144.95,144.0081,144.52,3445302,0.9419
298,2022-11-15,IBM,144.08,146.1609,142.0,144.34,4727107,4.1609
299,2022-11-14,IBM,142.63,146.08,142.18,144.2,5245624,3.9
300,2022-11-11,IBM,141.5,144.13,140.96,143.17,5871264,3.17
301,2022-11-10,IBM,140.26,141.37,138.29,141.23,5389025,3.08
302,2022-11-09,IBM,137.95,138.9,136.94,137.39,4720007,1.96
303,2022-11-08,IBM,139.0,140.93,138.72,140.04,5042756,2.21
304,2022-11-07,IBM,136.64,138.7,136.51,138.34,4043062,2.19
305,2022-11-04,IBM,135.65,137.73,134.94,136.96,4177972,2.79
306,2022-11-03,IBM,136.42,136.48,133.97,134.47,4442443,2.51
307,2022-11-02,IBM,137.75,140.17,136.8,136.83,5365264,3.37
308,2022-11-01,IBM,138.25,138.65,136.7,138.2,3590607,1.95
309,2022-10-31,IBM,138.06,138.7699,136.595,138.29,4915270,2.1749
310,2022-10-28,IBM,135.56,138.8615,135.22,138.51,5965457,3.6415
311,2022-10-27,IBM,135.55,136.4,134.445,134.77,3993168,1.955
312,2022-10-26,IBM,133.72,135.863,132.81,135.01,5140023,3.053
313,2022-10-25,IBM,132.0,133.3,131.3,132.93,5957623,2.0
314,2022-10-24,IBM,130.9,133.11,129.85,132.69,5610914,3.26
315,2022-10-21,IBM,128.39,130.845,127.59,129.9,7201256,3.255
316,2022-10-20,IBM,126.25,128.96,125.15,128.3,13623115,3.81
317,2022-10-19,IBM,122.36,123.94,121.9875,122.51,5906576,1.9525
318,2022-10-18,IBM,123.0,123.94,121.82,122.94,5120336,2.12
319,2022-10-17,IBM,121.8,122.875,121.43,121.52,5458585,1.445
320,2022-10-14,IBM,121.8,122.54,119.84,120.04,3763840,2.7
321,2022-10-13,IBM,116.1,122.15,115.545,121.79,5837645,6.605
322,2022-10-12,IBM,118.0,118.81,117.2,117.57,3338754,1.61
323,2022-10-11,IBM,117.46,119.23,116.94,117.8,4043265,2.29
324,2022-10-10,IBM,119.79,119.96,117.04,117.75,5990008,2.92
325,2022-10-07,IBM,121.5,121.8016,118.07,118.82,4499672,3.7316
326,2022-10-06,IBM,124.88,125.3,121.77,122.23,5074624,3.53
327,2022-10-05,IBM,124.71,126.46,124.23,125.74,3212872,2.23
328,2022-10-04,IBM,122.8,125.65,122.52,125.5,4566055,3.13
329,2022-10-03,IBM,120.16,122.21,119.6,121.51,4261729,2.61
330,2022-09-30,IBM,121.66,122.43,118.61,118.81,5346108,3.82
331,2022-09-29,IBM,121.85,122.62,120.57,121.63,3817723,2.05
332,2022-09-28,IBM,121.65,123.23,119.81,122.76,4996378,3.42
333,2022-09-27,IBM,122.6,123.95,121.08,121.74,4117215,2.87
334,2022-09-26,IBM,122.3,124.26,121.75,122.01,3987817,2.51
335,2022-09-23,IBM,124.53,125.0,121.74,122.71,5195693,3.26
336,2022-09-22,IBM,124.76,126.51,124.41,125.31,4038335,2.1
337,2022-09-21,IBM,126.89,127.84,124.92,124.93,3389545,2.92
338,2022-09-20,IBM,126.9,126.99,125.52,126.3,2837485,1.47
339,2022-09-19,IBM,126.49,128.06,126.28,127.73,3981606,1.78
340,2022-09-16,IBM,124.36,127.53,123.83,127.27,9839696,3.7
341,2022-09-15,IBM,127.39,127.465,124.9,125.49,5141671,2.565
342,2022-09-14,IBM,127.5,129.0,126.845,127.69,3819067,2.155
343,2022-09-13,IBM,129.14,129.909,126.7709,127.25,4565585,3.1381
344,2022-09-12,IBM,130.33,130.99,129.89,130.66,3741168,1.1
345,2022-09-09,IBM,128.9,129.49,128.06,129.19,3293365,1.43
346,2022-09-08,IBM,127.2,128.54,126.59,128.47,2964613,1.95
347,2022-09-07,IBM,126.69,127.8667,126.28,127.71,2401513,1.5867
348,2022-09-06,IBM,127.8,128.06,126.3,126.72,3345343,1.76
349,2022-09-02,IBM,130.3,130.56,127.24,127.79,3040813,3.32
350,2022-09-01,IBM,128.4,129.8173,127.74,129.66,3396219,2.0773
351,2022-08-31,IBM,129.92,130.0,128.4,128.45,3490380,1.6
352,2022-08-30,IBM,130.56,130.77,129.29,129.58,2407888,1.48
353,2022-08-29,IBM,129.99,131.42,129.57,130.31,2751308,1.85
354,2022-08-26,IBM,134.1,134.18,130.34,130.38,4185254,3.84
355,2022-08-25,IBM,133.65,134.425,133.07,133.98,2706005,1.355
356,2022-08-24,IBM,134.89,135.11,133.11,133.23,2855421,2.0
357,2022-08-23,IBM,135.37,136.1,134.72,134.74,4141798,1.38
358,2022-08-22,IBM,137.65,137.85,135.47,135.55,3093629,2.38
359,2022-08-19,IBM,138.75,139.34,137.66,138.37,3155842,1.68
360,2022-08-18,IBM,137.79,139.12,137.75,139.07,3177726,1.37
361,2022-08-17,IBM,136.46,138.415,136.3,137.79,3667568,2.115
362,2022-08-16,IBM,134.6,137.37,134.4517,136.56,4313600,2.9183
363,2022-08-15,IBM,132.96,135.19,132.24,134.93,2791241,2.95
364,2022-08-12,IBM,132.62,134.09,131.98,134.01,2767054,2.11
365,2022-08-11,IBM,132.36,133.225,132.0,132.54,3501925,1.225
366,2022-08-10,IBM,130.75,131.78,130.34,131.5,3663995,1.44
367,2022-08-09,IBM,129.92,130.79,129.12,129.47,3495991,1.67
368,2022-08-08,IBM,133.1,133.35,132.02,132.61,3825145,1.33
369,2022-08-05,IBM,131.25,132.67,131.07,132.48,2586519,1.6
370,2022-08-04,IBM,132.15,132.2866,131.02,131.64,3179789,1.2666
371,2022-08-03,IBM,131.82,132.862,131.32,132.34,3088532,1.542
372,2022-08-02,IBM,132.2,132.78,130.51,131.81,4403633,2.27
373,2022-08-01,IBM,130.75,132.7,130.7,132.04,4142099,2.0
