,Stock,RSI
2000-10-20,IBM,43.5060
2000-10-13,IBM,48.0240
2000-10-06,IBM,44.1186
2000-09-29,IBM,58.2027
2000-09-22,IBM,59.2779
2000-09-15,IBM,62.9330
2000-09-08,IBM,70.2876
2000-09-01,IBM,68.3107
2000-08-25,IBM,61.3427
2000-08-18,IBM,60.4009
2000-08-11,IBM,57.3031
2000-08-04,IBM,51.3306
2000-07-28,IBM,55.4605
2000-07-21,IBM,44.7653
2000-07-14,IBM,45.0165
2000-07-07,IBM,49.0396
2000-06-30,IBM,53.5481
2000-06-23,IBM,54.0745
2000-06-16,IBM,60.0456
2000-06-09,IBM,50.7430
2000-06-02,IBM,50.0670
2000-05-26,IBM,48.4522
2000-05-19,IBM,46.6786
2000-05-12,IBM,49.8098
2000-05-05,IBM,53.2180
2000-04-28,IBM,44.9651
2000-04-20,IBM,46.2735
2000-04-14,IBM,65.3973
2000-04-07,IBM,62.1988
2000-03-31,IBM,68.1684
2000-03-24,IBM,57.0345
2000-03-17,IBM,50.8449
2000-03-10,IBM,58.3322
2000-03-03,IBM,52.7202
2000-02-25,IBM,63.3774
2000-02-18,IBM,70.3106
2000-02-11,IBM,70.2248
2000-02-04,IBM,66.8147
2000-01-28,IBM,87.1977
2000-01-21,IBM,86.4238
